Dex No.,Name,Generation,Primary Type,Secondary Type,Health,Attack,Defense,Sp. Attack,Sp. Defense,Speed,BST,Catch Rate,Ability 1,Ability 2,Hidden Ability,Male Ratio,Female Ratio,Height,Weight,Egg Group 1,Egg Group 2,Sword Dens,Sheild Dens,Moonstone Evo?,-
#143,Snorlax,Generation I,Normal,Unknown,160,110,65,65,110,30,540,25,Immunity,Thick Fat,Gluttony,87.5,12.5,2.1,460,Monster,Unknown,"40, 65","40, 65",0,
#144,Articuno,Generation I,Ice,Flying,90,85,100,95,125,85,580,3,Pressure,Unknown,Snow Cloak,0,0,1.7,55.4,Undiscovered,Unknown,Unknown,Unknown,0,
#145,Zapdos,Generation I,Electric,Flying,90,90,85,125,90,100,580,3,Pressure,Unknown,Static,0,0,1.6,52.6,Undiscovered,Unknown,Unknown,Unknown,0,
#146,Moltres,Generation I,Fire,Flying,90,100,90,125,85,90,580,3,Pressure,Unknown,Flame Body,0,0,2,60,Undiscovered,Unknown,Unknown,Unknown,0,
#147,Dratini,Generation I,Dragon,Unknown,41,64,45,50,50,50,300,45,Shed Skin,Unknown,Marvel Scale,50,50,1.8,3.3,Water 1,Dragon,Unknown,Unknown,0,
#148,Dragonair,Generation I,Dragon,Unknown,61,84,65,70,70,70,420,45,Shed Skin,Unknown,Marvel Scale,50,50,4,16.5,Water 1,Dragon,Unknown,Unknown,0,
#149,Dragonite,Generation I,Dragon,Flying,91,134,95,100,100,80,600,45,Inner Focus,Unknown,Multiscale,50,50,2.2,210,Water 1,Dragon,Unknown,Unknown,0,
#150,Mewtwo,Generation I,Psychic,Unknown,106,110,90,154,90,130,680,3,Pressure,Unknown,Unnerve,0,0,2,122,Undiscovered,Unknown,Unknown,Unknown,0,
#151,Mew,Generation I,Psychic,Unknown,100,100,100,100,100,100,600,45,Synchronize,Unknown,Unknown,0,0,0.4,4,Undiscovered,Unknown,Unknown,Unknown,0,
#152,Chikorita,Generation II,Grass,Unknown,45,49,65,49,65,45,318,45,Overgrow,Unknown,Leaf Guard,87.5,12.5,0.9,6.4,Monster,Grass,Unknown,Unknown,0,
#153,Bayleef,Generation II,Grass,Unknown,60,62,80,63,80,60,405,45,Overgrow,Unknown,Leaf Guard,87.5,12.5,1.2,15.8,Monster,Grass,Unknown,Unknown,0,
#154,Meganium,Generation II,Grass,Unknown,80,82,100,83,100,80,525,45,Overgrow,Unknown,Leaf Guard,87.5,12.5,1.8,100.5,Monster,Grass,Unknown,Unknown,0,
#155,Cyndaquil,Generation II,Fire,Unknown,39,52,43,60,50,65,309,45,Blaze,Unknown,Flash Fire,87.5,12.5,0.5,7.9,Field,Unknown,Unknown,Unknown,0,
#156,Quilava,Generation II,Fire,Unknown,58,64,58,80,65,80,405,45,Blaze,Unknown,Flash Fire,87.5,12.5,0.9,19,Field,Unknown,Unknown,Unknown,0,
#157,Typhlosion,Generation II,Fire,Unknown,78,84,78,109,85,100,534,45,Blaze,Unknown,Flash Fire,87.5,12.5,1.7,79.5,Field,Unknown,Unknown,Unknown,0,
#158,Totodile,Generation II,Water,Unknown,50,65,64,44,48,43,314,45,Torrent,Unknown,Sheer Force,87.5,12.5,0.6,9.5,Monster,Water 1,Unknown,Unknown,0,
#159,Croconaw,Generation II,Water,Unknown,65,80,80,59,63,58,405,45,Torrent,Unknown,Sheer Force,87.5,12.5,1.1,25,Monster,Water 1,Unknown,Unknown,0,
#160,Feraligatr,Generation II,Water,Unknown,85,105,100,79,83,78,530,45,Torrent,Unknown,Sheer Force,87.5,12.5,2.3,88.8,Monster,Water 1,Unknown,Unknown,0,
#161,Sentret,Generation II,Normal,Unknown,35,46,34,35,45,20,215,255,Run Away,Keen Eye,Frisk,50,50,0.8,6,Field,Unknown,Unknown,Unknown,0,
#162,Furret,Generation II,Normal,Unknown,85,76,64,45,55,90,415,90,Run Away,Keen Eye,Frisk,50,50,1.8,32.5,Field,Unknown,Unknown,Unknown,0,
#163,Hoothoot,Generation II,Normal,Flying,60,30,30,36,56,50,262,255,Insomnia,Keen Eye,Tinted Lens,50,50,0.7,21.2,Flying,Unknown,Unknown,Unknown,0,
#164,Noctowl,Generation II,Normal,Flying,100,50,50,76,96,70,442,90,Insomnia,Keen Eye,Tinted Lens,50,50,1.6,40.8,Flying,Unknown,Unknown,Unknown,0,
#165,Ledyba,Generation II,Bug,Flying,40,20,30,40,80,55,265,255,Swarm,Early Bird,Rattled,50,50,1,10.8,Bug,Unknown,Unknown,Unknown,0,
#166,Ledian,Generation II,Bug,Flying,55,35,50,55,110,85,390,90,Swarm,Early Bird,Iron Fist,50,50,1.4,35.6,Bug,Unknown,Unknown,Unknown,0,
#167,Spinarak,Generation II,Bug,Poison,40,60,40,40,40,30,250,255,Swarm,Insomnia,Sniper,50,50,0.5,8.5,Bug,Unknown,Unknown,Unknown,0,
#168,Ariados,Generation II,Bug,Poison,70,90,70,60,60,40,390,90,Swarm,Insomnia,Sniper,50,50,1.1,33.5,Bug,Unknown,Unknown,Unknown,0,
#169,Crobat,Generation II,Poison,Flying,85,90,80,70,80,130,535,90,Inner Focus,Unknown,Infiltrator,50,50,1.8,75,Flying,Unknown,Unknown,Unknown,0,
#170,Chinchou,Generation II,Water,Electric,75,38,38,56,56,67,330,190,Volt Absorb,Illuminate,Water Absorb,50,50,0.5,12,Water 2,Unknown,Unknown,Unknown,0,
#171,Lanturn,Generation II,Water,Electric,125,58,58,76,76,67,460,75,Volt Absorb,Illuminate,Water Absorb,50,50,1.2,22.5,Water 2,Unknown,Unknown,Unknown,0,
#172,Pichu,Generation II,Electric,Unknown,20,40,15,35,35,60,205,190,Static,Unknown,Lightning Rod,50,50,0.3,2,Undiscovered,Unknown,"24, 57, 106","24, 57, 106",0,
#173,Cleffa,Generation II,Fairy,Unknown,50,25,28,45,55,15,218,150,Cute Charm,Magic Guard,Friend Guard,25,75,0.3,3,Undiscovered,Unknown,"33, 126","33, 126",0,
#174,Igglybuff,Generation II,Normal,Fairy,90,30,15,40,20,15,210,170,Cute Charm,Competitive,Friend Guard,25,75,0.3,1,Undiscovered,Unknown,"99, 125","99, 125",0,
#175,Togepi,Generation II,Fairy,Unknown,35,20,65,40,65,20,245,190,Hustle,Serene Grace,Super Luck,87.5,12.5,0.3,1.5,Undiscovered,Unknown,"33, 62, 74, 82, 87","33, 62, 74, 82, 87",0,
#176,Togetic,Generation II,Fairy,Flying,55,40,85,80,105,40,405,75,Hustle,Serene Grace,Super Luck,87.5,12.5,0.6,3.2,Flying,Fairy,"33, 62, 74, 82, 87","33, 62, 74, 82, 87",0,
#177,Natu,Generation II,Psychic,Flying,40,50,45,70,45,70,320,190,Synchronize,Early Bird,Magic Bounce,50,50,0.2,2,Flying,Unknown,"13, 14, 31, 32, 61, 89","13, 14, 31, 32, 61, 89",0,
#178,Xatu,Generation II,Psychic,Flying,65,75,70,95,70,95,470,75,Synchronize,Early Bird,Magic Bounce,50,50,1.5,15,Flying,Unknown,"13, 14, 31, 32, 61, 89","13, 14, 31, 32, 61, 89",0,
#179,Mareep,Generation II,Electric,Unknown,55,40,40,65,45,35,280,235,Static,Unknown,Plus,50,50,0.6,7.8,Monster,Field,Unknown,Unknown,0,
#180,Flaaffy,Generation II,Electric,Unknown,70,55,55,80,60,45,365,120,Static,Unknown,Plus,50,50,0.8,13.3,Monster,Field,Unknown,Unknown,0,
#181,Ampharos,Generation II,Electric,Unknown,90,75,75,115,90,55,500,45,Static,Unknown,Plus,50,50,1.4,61.5,Monster,Field,Unknown,Unknown,0,
#182,Bellossom,Generation II,Grass,Unknown,75,80,85,90,100,50,480,45,Chlorophyll,Unknown,Healer,50,50,0.4,5.8,Grass,Unknown,26,26,0,
#183,Marill,Generation II,Water,Fairy,70,20,50,20,50,40,250,190,Thick Fat,Huge Power,Sap Sipper,50,50,0.4,8.5,Water 1,Fairy,"125, 126","125, 126",0,
#184,Azumarill,Generation II,Water,Fairy,100,50,80,50,80,50,410,75,Thick Fat,Huge Power,Sap Sipper,50,50,0.8,28.5,Water 1,Fairy,"125, 126","125, 126",0,
#185,Sudowoodo,Generation II,Rock,Unknown,70,100,115,30,65,30,410,65,Sturdy,Rock Head,Rattled,50,50,1.2,38,Mineral,Unknown,"3, 51, 83, 116","3, 116",0,
#186,Politoed,Generation II,Water,Unknown,90,75,75,90,100,70,500,45,Water Absorb,Damp,Drizzle,50,50,1.1,33.9,Water 1,Unknown,"133, 134","133, 134",0,
#187,Hoppip,Generation II,Grass,Flying,35,35,40,35,55,50,250,255,Chlorophyll,Leaf Guard,Infiltrator,50,50,0.4,0.5,Fairy,Grass,Unknown,Unknown,0,
#188,Skiploom,Generation II,Grass,Flying,55,45,50,45,65,80,340,120,Chlorophyll,Leaf Guard,Infiltrator,50,50,0.6,1,Fairy,Grass,Unknown,Unknown,0,
#189,Jumpluff,Generation II,Grass,Flying,75,55,70,55,85,110,450,45,Chlorophyll,Leaf Guard,Infiltrator,50,50,0.8,3,Fairy,Grass,Unknown,Unknown,0,
#190,Aipom,Generation II,Normal,Unknown,55,70,55,40,55,85,360,45,Run Away,Pickup,Skill Link,50,50,0.8,11.5,Field,Unknown,Unknown,Unknown,0,
#191,Sunkern,Generation II,Grass,Unknown,30,30,30,30,30,30,180,235,Chlorophyll,Solar Power,Early Bird,50,50,0.3,1.8,Grass,Unknown,Unknown,Unknown,0,
#192,Sunflora,Generation II,Grass,Unknown,75,75,55,105,85,30,425,120,Chlorophyll,Solar Power,Early Bird,50,50,0.8,8.5,Grass,Unknown,Unknown,Unknown,0,
#193,Yanma,Generation II,Bug,Flying,65,65,45,75,45,95,390,75,Speed Boost,Compound Eyes,Frisk,50,50,1.2,38,Bug,Unknown,Unknown,Unknown,0,
#194,Wooper,Generation II,Water,Ground,55,45,45,25,25,15,210,255,Damp,Water Absorb,Unaware,50,50,0.4,8.5,Water 1,Field,"9, 52, 75, 93, 133","9, 52, 75, 93, 133",0,
#195,Quagsire,Generation II,Water,Ground,95,85,85,65,65,35,430,90,Damp,Water Absorb,Unaware,50,50,1.4,75,Water 1,Field,"9, 52, 75, 93, 133, 134","9, 52, 75, 93, 133, 134",0,
#196,Espeon,Generation II,Psychic,Unknown,65,65,60,130,95,110,525,45,Synchronize,Unknown,Magic Bounce,87.5,12.5,0.9,26.5,Field,Unknown,68,68,0,
#197,Umbreon,Generation II,Dark,Unknown,95,65,110,60,130,65,525,45,Synchronize,Unknown,Inner Focus,87.5,12.5,1,27,Field,Unknown,69,69,0,
#198,Murkrow,Generation II,Dark,Flying,60,85,42,85,42,91,405,30,Insomnia,Super Luck,Prankster,50,50,0.5,2.1,Flying,Unknown,Unknown,Unknown,0,
#199,Slowking,Generation II,Water,Psychic,95,75,80,100,110,30,490,70,Oblivious,Own Tempo,Regenerator,50,50,2,79.5,Monster,Water 1,Unknown,Unknown,0,
#200,Misdreavus,Generation II,Ghost,Unknown,60,60,60,85,85,85,435,45,Levitate,Unknown,Unknown,50,50,0.7,1,Amorphous,Unknown,Unknown,Unknown,0,
#201,Unown,Generation II,Psychic,Unknown,48,72,48,72,48,48,336,225,Levitate,Unknown,Unknown,0,0,0.5,5,Undiscovered,Unknown,Unknown,Unknown,0,
#202,Wobbuffet,Generation II,Psychic,Unknown,190,33,58,33,58,33,405,45,Shadow Tag,Unknown,Telepathy,50,50,1.3,28.5,Amorphous,Unknown,14,14,0,
#203,Girafarig,Generation II,Normal,Psychic,70,80,65,90,65,85,455,60,Inner Focus,Early Bird,Sap Sipper,50,50,1.5,41.5,Field,Unknown,Unknown,Unknown,0,
#204,Pineco,Generation II,Bug,Unknown,50,65,90,35,35,15,290,190,Sturdy,Unknown,Overcoat,50,50,0.6,7.2,Bug,Unknown,Unknown,Unknown,0,
#205,Forretress,Generation II,Bug,Steel,75,90,140,60,60,40,465,75,Sturdy,Unknown,Overcoat,50,50,1.2,125.8,Bug,Unknown,Unknown,Unknown,0,
#206,Dunsparce,Generation II,Normal,Unknown,100,70,70,65,65,45,415,190,Serene Grace,Run Away,Rattled,50,50,1.5,14,Field,Unknown,"99, 100","99, 100",0,
#207,Gligar,Generation II,Ground,Flying,65,75,105,35,65,85,430,60,Hyper Cutter,Sand Veil,Immunity,50,50,1.1,64.8,Bug,Unknown,Unknown,Unknown,0,
#208,Steelix,Generation II,Steel,Ground,75,85,200,55,65,30,510,25,Rock Head,Sturdy,Sheer Force,50,50,9.2,400,Mineral,Unknown,"12, 16, 45, 51, 83, 84","12, 16, 45, 51, 81",0,
#209,Snubbull,Generation II,Fairy,Unknown,60,80,50,40,40,30,300,190,Intimidate,Run Away,Rattled,25,75,0.6,7.8,Field,Fairy,Unknown,Unknown,0,
#210,Granbull,Generation II,Fairy,Unknown,90,120,75,60,60,45,450,75,Intimidate,Quick Feet,Rattled,25,75,1.4,48.7,Field,Fairy,Unknown,Unknown,0,
#211,Qwilfish,Generation II,Water,Poison,65,95,75,55,55,85,430,45,Poison Point,Swift Swim,Intimidate,50,50,0.5,3.9,Water 2,Unknown,"29, 30, 44, 75, 76, 78, 120","29, 30, 44, 75, 76, 78, 120",0,
#212,Scizor,Generation II,Bug,Steel,70,130,100,55,80,65,500,25,Swarm,Technician,Light Metal,50,50,1.8,118,Bug,Unknown,"109, 110","109, 110",0,
#213,Shuckle,Generation II,Bug,Rock,20,10,230,10,230,5,505,190,Sturdy,Gluttony,Contrary,50,50,0.6,20.5,Bug,Unknown,"3, 110, 116","3, 110, 116",0,
#214,Heracross,Generation II,Bug,Fighting,80,125,75,40,95,85,500,45,Swarm,Guts,Moxie,50,50,1.5,54,Bug,Unknown,Unknown,"109, 110, 149",0,
#215,Sneasel,Generation II,Dark,Ice,55,95,55,35,75,115,430,60,Inner Focus,Keen Eye,Pickpocket,50,50,0.9,28,Field,Unknown,"22, 23, 35, 63","22, 23, 35, 63",0,
#216,Teddiursa,Generation II,Normal,Unknown,60,80,50,50,50,40,330,120,Pickup,Quick Feet,Honey Gather,50,50,0.6,8.8,Field,Unknown,Unknown,Unknown,0,
#217,Ursaring,Generation II,Normal,Unknown,90,130,75,75,75,55,500,60,Guts,Quick Feet,Unnerve,50,50,1.8,125.8,Field,Unknown,Unknown,Unknown,0,
#218,Slugma,Generation II,Fire,Unknown,40,40,40,70,40,20,250,190,Magma Armor,Flame Body,Weak Armor,50,50,0.7,35,Amorphous,Unknown,Unknown,Unknown,0,
#219,Magcargo,Generation II,Fire,Rock,50,50,120,80,80,30,410,75,Magma Armor,Flame Body,Weak Armor,50,50,0.8,55,Amorphous,Unknown,Unknown,Unknown,0,
#220,Swinub,Generation II,Ice,Ground,50,50,40,30,30,50,250,225,Oblivious,Snow Cloak,Thick Fat,50,50,0.4,6.5,Field,Unknown,"17, 21, 22","17, 21, 22",0,
#221,Piloswine,Generation II,Ice,Ground,100,100,80,60,60,50,450,75,Oblivious,Snow Cloak,Thick Fat,50,50,1.1,55.8,Field,Unknown,"17, 21, 22","17, 21, 22",0,
#222,Corsola,Generation II,Water,Rock,55,55,85,65,85,35,380,60,Hustle,Natural Cure,Regenerator,25,75,0.6,5,Water 1,Water 3,Unknown,Unknown,0,
#223,Remoraid,Generation II,Water,Unknown,35,65,35,65,35,65,300,190,Hustle,Sniper,Moody,50,50,0.6,12,Water 1,Water 2,"7, 76, 137, 138, 147","7, 76, 137, 138, 147",0,
#224,Octillery,Generation II,Water,Unknown,75,105,75,105,75,45,480,75,Suction Cups,Sniper,Moody,50,50,0.9,28.5,Water 1,Water 2,"7, 76, 137, 138, 147","7, 76, 137, 138, 147",0,
#225,Delibird,Generation II,Ice,Flying,45,55,45,65,45,75,330,45,Vital Spirit,Hustle,Insomnia,50,50,0.9,16,Water 1,Field,"21, 55, 61","21, 23, 55, 61, 83",0,
#226,Mantine,Generation II,Water,Flying,65,40,70,80,140,70,465,25,Swift Swim,Water Absorb,Water Veil,50,50,2.1,220,Water 1,Unknown,"7, 67, 76, 137, 138","7, 67, 76, 137, 138",0,
#227,Skarmory,Generation II,Steel,Flying,65,80,140,40,70,70,465,25,Keen Eye,Sturdy,Weak Armor,50,50,1.7,50.5,Flying,Unknown,"129, 130","129, 130",0,
#228,Houndour,Generation II,Dark,Fire,45,60,30,80,50,65,330,120,Early Bird,Flash Fire,Unnerve,50,50,0.6,10.8,Field,Unknown,Unknown,Unknown,0,
#229,Houndoom,Generation II,Dark,Fire,75,90,50,110,80,95,500,45,Early Bird,Flash Fire,Unnerve,50,50,1.4,35,Field,Unknown,Unknown,Unknown,0,
#230,Kingdra,Generation II,Water,Dragon,75,95,95,95,95,85,540,45,Swift Swim,Sniper,Damp,50,50,1.8,152,Water 1,Dragon,"131, 132","131, 132",0,
#231,Phanpy,Generation II,Ground,Unknown,90,60,60,40,40,40,330,120,Pickup,Unknown,Sand Veil,50,50,0.5,33.5,Field,Unknown,Unknown,Unknown,0,
#232,Donphan,Generation II,Ground,Unknown,90,120,120,60,60,50,500,60,Sturdy,Unknown,Sand Veil,50,50,1.1,120,Field,Unknown,Unknown,Unknown,0,
#233,Porygon2,Generation II,Normal,Unknown,85,80,90,105,95,60,515,45,Trace,Download,Analytic,0,0,0.6,32.5,Mineral,Unknown,Unknown,Unknown,0,
#234,Stantler,Generation II,Normal,Unknown,73,95,62,85,65,85,465,45,Intimidate,Frisk,Sap Sipper,50,50,1.4,71.2,Field,Unknown,Unknown,Unknown,0,
#235,Smeargle,Generation II,Normal,Unknown,55,20,35,20,45,75,250,45,Own Tempo,Technician,Moody,50,50,1.2,58,Field,Unknown,Unknown,Unknown,0,
#236,Tyrogue,Generation II,Fighting,Unknown,35,35,35,35,35,35,210,75,Guts,Steadfast,Vital Spirit,100,0,0.7,21,Undiscovered,Unknown,"1, 10","1, 10",0,
#237,Hitmontop,Generation II,Fighting,Unknown,50,95,95,35,110,70,455,45,Intimidate,Technician,Steadfast,100,0,1.4,48,HumanUndiscoveredLike,Unknown,1,1,0,
#238,Smoochum,Generation II,Ice,Psychic,45,30,15,85,65,65,305,45,Oblivious,Forewarn,Hydration,0,100,0.4,6,Undiscovered,Unknown,Unknown,Unknown,0,
#239,Elekid,Generation II,Electric,Unknown,45,63,37,65,55,95,360,45,Static,Unknown,Vital Spirit,75,25,0.6,23.5,Undiscovered,Unknown,Unknown,Unknown,0,
#240,Magby,Generation II,Fire,Unknown,45,75,37,70,55,83,365,45,Flame Body,Unknown,Vital Spirit,75,25,0.7,21.4,Undiscovered,Unknown,Unknown,Unknown,0,
#241,Miltank,Generation II,Normal,Unknown,95,80,105,40,70,100,490,45,Thick Fat,Scrappy,Sap Sipper,0,100,1.2,75.5,Field,Unknown,"101, 102","101, 102",0,
#242,Blissey,Generation II,Normal,Unknown,255,10,10,75,135,55,540,30,Natural Cure,Serene Grace,Friend Guard,0,100,1.5,46.8,Fairy,Unknown,"100, 102, 104, 106, 108, 110, 112, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 134, 136, 138, 140, 141, 142, 144, 145, 146, 147, 148, 149, 150, 151, 153, 157","100, 102, 104, 106, 108, 110, 112, 114, 116, 118, 120, 122, 124, 126, 128, 130, 132, 134, 136, 138, 140, 141, 142, 144, 145, 146, 147, 148, 149, 150, 151, 153, 157",0,
#243,Raikou,Generation II,Electric,Unknown,90,85,75,115,100,115,580,3,Pressure,Unknown,Inner Focus,0,0,1.9,178,Undiscovered,Unknown,Unknown,Unknown,0,
#244,Entei,Generation II,Fire,Unknown,115,115,85,90,75,100,580,3,Pressure,Unknown,Inner Focus,0,0,2.1,198,Undiscovered,Unknown,Unknown,Unknown,0,
#245,Suicune,Generation II,Water,Unknown,100,75,115,90,115,85,580,3,Pressure,Unknown,Inner Focus,0,0,2,187,Undiscovered,Unknown,Unknown,Unknown,0,
#246,Larvitar,Generation II,Rock,Ground,50,64,50,45,50,41,300,45,Guts,Unknown,Sand Veil,50,50,0.6,72,Monster,Unknown,Unknown,51,0,
#247,Pupitar,Generation II,Rock,Ground,70,84,70,65,70,51,410,45,Shed Skin,Unknown,Unknown,50,50,1.2,152,Monster,Unknown,Unknown,51,0,
#248,Tyranitar,Generation II,Rock,Dark,100,134,110,95,100,61,600,45,Sand Stream,Unknown,Unnerve,50,50,2,202,Monster,Unknown,Unknown,"36, 51, 63, 88",0,
#249,Lugia,Generation II,Psychic,Flying,106,90,130,90,154,110,680,3,Pressure,Unknown,Multiscale,0,0,5.2,216,Undiscovered,Unknown,Unknown,Unknown,0,
#250,Ho-oh,Generation II,Fire,Flying,106,130,90,110,154,90,680,3,Pressure,Unknown,Regenerator,0,0,3.8,199,Undiscovered,Unknown,Unknown,Unknown,0,
#251,Celebi,Generation II,Psychic,Grass,100,100,100,100,100,100,600,45,Natural Cure,Unknown,Unknown,0,0,0.6,5,Undiscovered,Unknown,Unknown,Unknown,0,
#252,Treecko,Generation III,Grass,Unknown,40,45,35,65,55,70,310,45,Overgrow,Unknown,Unburden,87.5,12.5,0.5,5,Monster,Dragon,Unknown,Unknown,0,
#253,Grovyle,Generation III,Grass,Unknown,50,65,45,85,65,95,405,45,Overgrow,Unknown,Unburden,87.5,12.5,0.9,21.6,Monster,Dragon,Unknown,Unknown,0,
#254,Sceptile,Generation III,Grass,Unknown,70,85,65,105,85,120,530,45,Overgrow,Unknown,Unburden,87.5,12.5,1.7,52.2,Monster,Dragon,Unknown,Unknown,0,
#255,Torchic,Generation III,Fire,Unknown,45,60,40,70,50,45,310,45,Blaze,Unknown,Speed Boost,87.5,12.5,0.4,2.5,Field,Unknown,Unknown,Unknown,0,
#256,Combusken,Generation III,Fire,Fighting,60,85,60,85,60,55,405,45,Blaze,Unknown,Speed Boost,87.5,12.5,0.9,19.5,Field,Unknown,Unknown,Unknown,0,
#257,Blaziken,Generation III,Fire,Fighting,80,120,70,110,70,80,530,45,Blaze,Unknown,Speed Boost,87.5,12.5,1.9,52,Field,Unknown,Unknown,Unknown,0,
#258,Mudkip,Generation III,Water,Unknown,50,70,50,50,50,40,310,45,Torrent,Unknown,Damp,87.5,12.5,0.4,7.6,Monster,Water 1,Unknown,Unknown,0,
#259,Marshtomp,Generation III,Water,Ground,70,85,70,60,70,50,405,45,Torrent,Unknown,Damp,87.5,12.5,0.7,28,Monster,Water 1,Unknown,Unknown,0,
#260,Swampert,Generation III,Water,Ground,100,110,90,85,90,60,535,45,Torrent,Unknown,Damp,87.5,12.5,1.5,81.9,Monster,Water 1,Unknown,Unknown,0,
#261,Poochyena,Generation III,Dark,Unknown,35,55,35,30,30,35,220,255,Run Away,Quick Feet,Rattled,50,50,0.5,13.6,Field,Unknown,Unknown,Unknown,0,
#262,Mightyena,Generation III,Dark,Unknown,70,90,70,60,60,70,420,127,Intimidate,Quick Feet,Moxie,50,50,1,37,Field,Unknown,Unknown,Unknown,0,
#263,Zigzagoon,Generation III,Normal,Unknown,38,30,41,30,41,60,240,255,Pickup,Gluttony,Quick Feet,50,50,0.4,17.5,Field,Unknown,Unknown,Unknown,0,
#264,Linoone,Generation III,Normal,Unknown,78,70,61,50,61,100,420,90,Pickup,Gluttony,Quick Feet,50,50,0.5,32.5,Field,Unknown,Unknown,Unknown,0,
#265,Wurmple,Generation III,Bug,Unknown,45,45,35,20,30,20,195,255,Shield Dust,Unknown,Run Away,50,50,0.3,3.6,Bug,Unknown,Unknown,Unknown,0,
#266,Silcoon,Generation III,Bug,Unknown,50,35,55,25,25,15,205,120,Shed Skin,Unknown,Unknown,50,50,0.6,10,Bug,Unknown,Unknown,Unknown,0,
#267,Beautifly,Generation III,Bug,Flying,60,70,50,90,50,65,385,45,Swarm,Unknown,Rivalry,50,50,1,28.4,Bug,Unknown,Unknown,Unknown,0,
#268,Cascoon,Generation III,Bug,Unknown,50,35,55,25,25,15,205,120,Shed Skin,Unknown,Unknown,50,50,0.7,11.5,Bug,Unknown,Unknown,Unknown,0,
#269,Dustox,Generation III,Bug,Poison,60,50,70,50,90,65,385,45,Shield Dust,Unknown,Compound Eyes,50,50,1.2,31.6,Bug,Unknown,Unknown,Unknown,0,
#270,Lotad,Generation III,Water,Grass,40,30,30,40,50,30,220,255,Swift Swim,Rain Dish,Own Tempo,50,50,0.5,2.6,Water 1,Grass,"26, 58, 59, 79","26, 58, 59, 79",0,
#271,Lombre,Generation III,Water,Grass,60,50,50,60,70,50,340,120,Swift Swim,Rain Dish,Own Tempo,50,50,1.2,32.5,Water 1,Grass,"26, 58, 59, 79","26, 58, 59, 79",0,
#272,Ludicolo,Generation III,Water,Grass,80,70,70,90,100,70,480,45,Swift Swim,Rain Dish,Own Tempo,50,50,1.5,55,Water 1,Grass,"26, 58, 59, 79","26, 58, 59, 79",0,
#273,Seedot,Generation III,Grass,Unknown,40,40,50,30,30,30,220,255,Chlorophyll,Early Bird,Pickpocket,50,50,0.5,4,Field,Grass,"26, 58, 59, 79","26, 58, 59, 79",0,
#274,Nuzleaf,Generation III,Grass,Dark,70,70,40,60,40,60,340,120,Chlorophyll,Early Bird,Pickpocket,50,50,1,28,Field,Grass,"26, 58, 59, 79","26, 58, 59, 79",0,
#275,Shiftry,Generation III,Grass,Dark,90,100,60,90,60,80,480,45,Chlorophyll,Early Bird,Pickpocket,50,50,1.3,59.6,Field,Grass,"26, 35, 58, 59, 79","26, 35, 58, 59, 79",0,
#276,Taillow,Generation III,Normal,Flying,40,55,30,30,30,85,270,200,Guts,Unknown,Scrappy,50,50,0.3,2.3,Flying,Unknown,Unknown,Unknown,0,
#277,Swellow,Generation III,Normal,Flying,60,85,60,50,50,125,430,45,Guts,Unknown,Scrappy,50,50,0.7,19.8,Flying,Unknown,Unknown,Unknown,0,
#278,Wingull,Generation III,Water,Flying,40,30,30,55,30,85,270,190,Keen Eye,Hydration,Rain Dish,50,50,0.6,9.5,Water 1,Flying,"32, 61, 89","32, 61, 89",0,
#279,Pelipper,Generation III,Water,Flying,60,50,100,85,70,65,430,45,Keen Eye,Drizzle,Rain Dish,50,50,1.2,28,Water 1,Flying,"32, 61, 89, 140","32, 61, 89, 140",0,
#280,Ralts,Generation III,Psychic,Fairy,28,25,25,45,35,40,198,235,Synchronize,Trace,Telepathy,50,50,0.4,6.6,Amorphous,Unknown,"2, 34, 50, 62, 74, 82, 87, 117","2, 34, 50, 62, 74, 82, 87, 117",0,
#281,Kirlia,Generation III,Psychic,Fairy,38,35,35,65,55,50,278,120,Synchronize,Trace,Telepathy,50,50,0.8,20.2,Amorphous,Unknown,"2, 34, 50, 117, 126","2, 34, 50, 117, 126",0,
#282,Gardevoir,Generation III,Psychic,Fairy,68,65,65,125,115,80,518,45,Synchronize,Trace,Telepathy,50,50,1.6,48.4,Amorphous,Unknown,"2, 43, 50, 62, 74, 82, 87, 117, 125, 126","2, 43, 50, 62, 74, 82, 87, 117, 125, 126",0,
#283,Surskit,Generation III,Bug,Water,40,30,32,50,52,65,269,200,Swift Swim,Unknown,Rain Dish,50,50,0.5,1.7,Water 1,Bug,Unknown,Unknown,0,
#284,Masquerain,Generation III,Bug,Flying,70,60,62,80,82,60,414,75,Intimidate,Unknown,Unnerve,50,50,0.8,3.6,Water 1,Bug,Unknown,Unknown,0,
#285,Shroomish,Generation III,Grass,Unknown,60,40,60,40,60,35,295,255,Effect Spore,Poison Heal,Quick Feet,50,50,0.4,4.5,Fairy,Grass,Unknown,Unknown,0,
#286,Breloom,Generation III,Grass,Fighting,60,130,80,60,60,70,460,90,Effect Spore,Poison Heal,Technician,50,50,1.2,39.2,Fairy,Grass,Unknown,Unknown,0,
#287,Slakoth,Generation III,Normal,Unknown,60,60,60,35,35,30,280,255,Truant,Unknown,Unknown,50,50,0.8,24,Field,Unknown,Unknown,Unknown,0,
#288,Vigoroth,Generation III,Normal,Unknown,80,80,80,55,55,90,440,120,Vital Spirit,Unknown,Unknown,50,50,1.4,46.5,Field,Unknown,Unknown,Unknown,0,
