Name,Sw nonHA,Sh nonHA,Sw HA,Sh HA,-
Togetic,"[33](https://www.serebii.net/swordshield/maxraidbattles/den33.shtml), [62](https://www.serebii.net/swordshield/maxraidbattles/den62.shtml), [74](https://www.serebii.net/swordshield/maxraidbattles/den74.shtml), [82](https://www.serebii.net/swordshield/maxraidbattles/den82.shtml), [87](https://www.serebii.net/swordshield/maxraidbattles/den87.shtml)","[33](https://www.serebii.net/swordshield/maxraidbattles/den33.shtml), [62](https://www.serebii.net/swordshield/maxraidbattles/den62.shtml), [74](https://www.serebii.net/swordshield/maxraidbattles/den74.shtml), [82](https://www.serebii.net/swordshield/maxraidbattles/den82.shtml), [87](https://www.serebii.net/swordshield/maxraidbattles/den87.shtml)",None,None,-
Natu,"[13](https://www.serebii.net/swordshield/maxraidbattles/den13.shtml), [14](https://www.serebii.net/swordshield/maxraidbattles/den14.shtml), [31](https://www.serebii.net/swordshield/maxraidbattles/den31.shtml), [32](https://www.serebii.net/swordshield/maxraidbattles/den32.shtml), [61](https://www.serebii.net/swordshield/maxraidbattles/den61.shtml), [89](https://www.serebii.net/swordshield/maxraidbattles/den89.shtml)","[13](https://www.serebii.net/swordshield/maxraidbattles/den13.shtml), [14](https://www.serebii.net/swordshield/maxraidbattles/den14.shtml), [31](https://www.serebii.net/swordshield/maxraidbattles/den31.shtml), [32](https://www.serebii.net/swordshield/maxraidbattles/den32.shtml), [61](https://www.serebii.net/swordshield/maxraidbattles/den61.shtml), [89](https://www.serebii.net/swordshield/maxraidbattles/den89.shtml)",None,None,-
Xatu,"[13](https://www.serebii.net/swordshield/maxraidbattles/den13.shtml), [14](https://www.serebii.net/swordshield/maxraidbattles/den14.shtml), [31](https://www.serebii.net/swordshield/maxraidbattles/den31.shtml), [32](https://www.serebii.net/swordshield/maxraidbattles/den32.shtml), [61](https://www.serebii.net/swordshield/maxraidbattles/den61.shtml), [89](https://www.serebii.net/swordshield/maxraidbattles/den89.shtml)","[13](https://www.serebii.net/swordshield/maxraidbattles/den13.shtml), [14](https://www.serebii.net/swordshield/maxraidbattles/den14.shtml), [31](https://www.serebii.net/swordshield/maxraidbattles/den31.shtml), [32](https://www.serebii.net/swordshield/maxraidbattles/den32.shtml), [61](https://www.serebii.net/swordshield/maxraidbattles/den61.shtml), [89](https://www.serebii.net/swordshield/maxraidbattles/den89.shtml)","[31](https://www.serebii.net/swordshield/maxraidbattles/den31.shtml), [61](https://www.serebii.net/swordshield/maxraidbattles/den61.shtml), [89](https://www.serebii.net/swordshield/maxraidbattles/den89.shtml)","[31](https://www.serebii.net/swordshield/maxraidbattles/den31.shtml), [61](https://www.serebii.net/swordshield/maxraidbattles/den61.shtml), [89](https://www.serebii.net/swordshield/maxraidbattles/den89.shtml)",-
Bellossom,[26](https://www.serebii.net/swordshield/maxraidbattles/den26.shtml),[26](https://www.serebii.net/swordshield/maxraidbattles/den26.shtml),[26](https://www.serebii.net/swordshield/maxraidbattles/den26.shtml),[26](https://www.serebii.net/swordshield/maxraidbattles/den26.shtml),-
Marill,"[125](https://www.serebii.net/swordshield/maxraidbattles/den125.shtml), [126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml)","[125](https://www.serebii.net/swordshield/maxraidbattles/den125.shtml), [126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml)",[126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml),[126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml),-
Azumarill,"[125](https://www.serebii.net/swordshield/maxraidbattles/den125.shtml), [126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml)","[125](https://www.serebii.net/swordshield/maxraidbattles/den125.shtml), [126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml)","[125](https://www.serebii.net/swordshield/maxraidbattles/den125.shtml), [126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml)","[125](https://www.serebii.net/swordshield/maxraidbattles/den125.shtml), [126](https://www.serebii.net/swordshield/maxraidbattles/den126.shtml)",-
Sudowoodo,"[3](https://www.serebii.net/swordshield/maxraidbattles/den3.shtml), [51](https://www.serebii.net/swordshield/maxraidbattles/den51.shtml), [83](https://www.serebii.net/swordshield/maxraidbattles/den83.shtml), [116](https://www.serebii.net/swordshield/maxraidbattles/den116.shtml)","[3](https://www.serebii.net/swordshield/maxraidbattles/den3.shtml), [116](https://www.serebii.net/swordshield/maxraidbattles/den116.shtml)",[116](https://www.serebii.net/swordshield/maxraidbattles/den116.shtml),[116](https://www.serebii.net/swordshield/maxraidbattles/den116.shtml),-
Politoed,"[133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml), [134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml)","[133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml), [134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml)","[133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml), [134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml)","[133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml), [134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml)",-
Wooper,"[9](https://www.serebii.net/swordshield/maxraidbattles/den9.shtml), [52](https://www.serebii.net/swordshield/maxraidbattles/den52.shtml), [75](https://www.serebii.net/swordshield/maxraidbattles/den75.shtml), [93](https://www.serebii.net/swordshield/maxraidbattles/den93.shtml), [133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml)","[9](https://www.serebii.net/swordshield/maxraidbattles/den9.shtml), [52](https://www.serebii.net/swordshield/maxraidbattles/den52.shtml), [75](https://www.serebii.net/swordshield/maxraidbattles/den75.shtml), [93](https://www.serebii.net/swordshield/maxraidbattles/den93.shtml), [133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml)",None,None,-
Quagsire,"[9](https://www.serebii.net/swordshield/maxraidbattles/den9.shtml), [52](https://www.serebii.net/swordshield/maxraidbattles/den52.shtml), [75](https://www.serebii.net/swordshield/maxraidbattles/den75.shtml), [93](https://www.serebii.net/swordshield/maxraidbattles/den93.shtml), [133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml), [134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml)","[9](https://www.serebii.net/swordshield/maxraidbattles/den9.shtml), [52](https://www.serebii.net/swordshield/maxraidbattles/den52.shtml), [75](https://www.serebii.net/swordshield/maxraidbattles/den75.shtml), [93](https://www.serebii.net/swordshield/maxraidbattles/den93.shtml), [133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml), [134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml)","[75](https://www.serebii.net/swordshield/maxraidbattles/den75.shtml), [133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml), [134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml)","[75](https://www.serebii.net/swordshield/maxraidbattles/den75.shtml), [133](https://www.serebii.net/swordshield/maxraidbattles/den133.shtml), [134](https://www.serebii.net/swordshield/maxraidbattles/den134.shtml)",-
Espeon,[68](https://www.serebii.net/swordshield/maxraidbattles/den68.shtml),[68](https://www.serebii.net/swordshield/maxraidbattles/den68.shtml),[68](https://www.serebii.net/swordshield/maxraidbattles/den68.shtml),[68](https://www.serebii.net/swordshield/maxraidbattles/den68.shtml),-
Umbreon,[69](https://www.serebii.net/swordshield/maxraidbattles/den69.shtml),[69](https://www.serebii.net/swordshield/maxraidbattles/den69.shtml),[69](https://www.serebii.net/swordshield/maxraidbattles/den69.shtml),[69](https://www.serebii.net/swordshield/maxraidbattles/den69.shtml),-
Wobbuffet,[14](https://www.serebii.net/swordshield/maxraidbattles/den14.shtml),[14](https://www.serebii.net/swordshield/maxraidbattles/den14.shtml),[14](https://www.serebii.net/swordshield/maxraidbattles/den14.shtml),[14](https://www.serebii.net/swordshield/maxraidbattles/den14.shtml),-
Dunsparce,"[99](https://www.serebii.net/swordshield/maxraidbattles/den99.shtml), [100](https://www.serebii.net/swordshield/maxraidbattles/den100.shtml)","[99](https://www.serebii.net/swordshield/maxraidbattles/den99.shtml), [100](https://www.serebii.net/swordshield/maxraidbattles/den100.shtml)","[99](https://www.serebii.net/swordshield/maxraidbattles/den99.shtml), [100](https://www.serebii.net/swordshield/maxraidbattles/den100.shtml)","[99](https://www.serebii.net/swordshield/maxraidbattles/den99.shtml), [100](https://www.serebii.net/swordshield/maxraidbattles/den100.shtml)",-
Steelix,"[12](https://www.serebii.net/swordshield/maxraidbattles/den12.shtml), [16](https://www.serebii.net/swordshield/maxraidbattles/den16.shtml), [45](https://www.serebii.net/swordshield/maxraidbattles/den45.shtml), [51](https://www.serebii.net/swordshield/maxraidbattles/den51.shtml), [83](https://www.serebii.net/swordshield/maxraidbattles/den83.shtml), [84](https://www.serebii.net/swordshield/maxraidbattles/den84.shtml)","[12](https://www.serebii.net/swordshield/maxraidbattles/den12.shtml), [16](https://www.serebii.net/swordshield/maxraidbattles/den16.shtml), [45](https://www.serebii.net/swordshield/maxraidbattles/den45.shtml), [51](https://www.serebii.net/swordshield/maxraidbattles/den51.shtml), [84](https://www.serebii.net/swordshield/maxraidbattles/den84.shtml)","[45](https://www.serebii.net/swordshield/maxraidbattles/den45.shtml), [51](https://www.serebii.net/swordshield/maxraidbattles/den51.shtml), [83](https://www.serebii.net/swordshield/maxraidbattles/den83.shtml), [84](https://www.serebii.net/swordshield/maxraidbattles/den84.shtml)","[12](https://www.serebii.net/swordshield/maxraidbattles/den12.shtml),  [45](https://www.serebii.net/swordshield/maxraidbattles/den45.shtml), [51](https://www.serebii.net/swordshield/maxraidbattles/den51.shtml), [84](https://www.serebii.net/swordshield/maxraidbattles/den84.shtml)",-
Qwilfish,"[29](https://www.serebii.net/swordshield/maxraidbattles/den29.shtml), [30](https://www.serebii.net/swordshield/maxraidbattles/den30.shtml), [44](https://www.serebii.net/swordshield/maxraidbattles/den44.shtml), [75](https://www.serebii.net/swordshield/maxraidbattles/den75.shtml), [76](https://www.serebii.net/swordshield/maxraidbattles/den76.shtml), [78](https://www.serebii.net/swordshield/maxraidbattles/den78.shtml), [120](https://www.serebii.net/swordshield/maxraidbattles/den120.shtml)","[29](https://www.serebii.net/swordshield/maxraidbattles/den29.shtml), [30](https://www.serebii.net/swordshield/maxraidbattles/den30.shtml), [44](https://www.serebii.net/swordshield/maxraidbattles/den44.shtml), [75](https://www.serebii.net/swordshield/maxraidbattles/den75.shtml), [76](https://www.serebii.net/swordshield/maxraidbattles/den76.shtml), [78](https://www.serebii.net/swordshield/maxraidbattles/den78.shtml), [120](https://www.serebii.net/swordshield/maxraidbattles/den120.shtml)","[75](https://www.serebii.net/swordshield/maxraidbattles/den75.shtml), [76](https://www.serebii.net/swordshield/maxraidbattles/den76.shtml), [120](https://www.serebii.net/swordshield/maxraidbattles/den120.shtml)","[75](https://www.serebii.net/swordshield/maxraidbattles/den75.shtml), [76](https://www.serebii.net/swordshield/maxraidbattles/den76.shtml), [120](https://www.serebii.net/swordshield/maxraidbattles/den120.shtml)",-
Scizor,"[109](https://www.serebii.net/swordshield/maxraidbattles/den109.shtml), [110](https://www.serebii.net/swordshield/maxraidbattles/den110.shtml)","[109](https://www.serebii.net/swordshield/maxraidbattles/den109.shtml), [110](https://www.serebii.net/swordshield/maxraidbattles/den110.shtml)","[109](https://www.serebii.net/swordshield/maxraidbattles/den109.shtml), [110](https://www.serebii.net/swordshield/maxraidbattles/den110.shtml)","[109](https://www.serebii.net/swordshield/maxraidbattles/den109.shtml), [110](https://www.serebii.net/swordshield/maxraidbattles/den110.shtml)",-
Shuckle,"[3](https://www.serebii.net/swordshield/maxraidbattles/den3.shtml), [110](https://www.serebii.net/swordshield/maxraidbattles/den110.shtml), [116](https://www.serebii.net/swordshield/maxraidbattles/den116.shtml)","[3](https://www.serebii.net/swordshield/maxraidbattles/den3.shtml), [110](https://www.serebii.net/swordshield/maxraidbattles/den110.shtml), [116](https://www.serebii.net/swordshield/maxraidbattles/den116.shtml)","[3](https://www.serebii.net/swordshield/maxraidbattles/den3.shtml), [110](https://www.serebii.net/swordshield/maxraidbattles/den110.shtml), [116](https://www.serebii.net/swordshield/maxraidbattles/den116.shtml)","[3](https://www.serebii.net/swordshield/maxraidbattles/den3.shtml), [110](https://www.serebii.net/swordshield/maxraidbattles/den110.shtml), [116](https://www.serebii.net/swordshield/maxraidbattles/den116.shtml)",-
Heracross,Unknown,"[109](https://www.serebii.net/swordshield/maxraidbattles/den109.shtml), [110](https://www.serebii.net/swordshield/maxraidbattles/den110.shtml), [149](https://www.serebii.net/swordshield/maxraidbattles/den149.shtml)",Unknown,"[109](https://www.serebii.net/swordshield/maxraidbattles/den109.shtml), [110](https://www.serebii.net/swordshield/maxraidbattles/den110.shtml), [149](https://www.serebii.net/swordshield/maxraidbattles/den149.shtml)",-
Sneasel,"[22](https://www.serebii.net/swordshield/maxraidbattles/den22.shtml), [23](https://www.serebii.net/swordshield/maxraidbattles/den23.shtml), [35](https://www.serebii.net/swordshield/maxraidbattles/den35.shtml), [63](https://www.serebii.net/swordshield/maxraidbattles/den63.shtml)","[22](https://www.serebii.net/swordshield/maxraidbattles/den22.shtml), [23](https://www.serebii.net/swordshield/maxraidbattles/den23.shtml), [35](https://www.serebii.net/swordshield/maxraidbattles/den35.shtml), [63](https://www.serebii.net/swordshield/maxraidbattles/den63.shtml)",None,None,-
Swinub,"[17](https://www.serebii.net/swordshield/maxraidbattles/den17.shtml), [21](https://www.serebii.net/swordshield/maxraidbattles/den21.shtml), [22](https://www.serebii.net/swordshield/maxraidbattles/den22.shtml)","[17](https://www.serebii.net/swordshield/maxraidbattles/den17.shtml), [21](https://www.serebii.net/swordshield/maxraidbattles/den21.shtml), [22](https://www.serebii.net/swordshield/maxraidbattles/den22.shtml)",None,None,-
Pilswine,"[17](https://www.serebii.net/swordshield/maxraidbattles/den17.shtml), [21](https://www.serebii.net/swordshield/maxraidbattles/den21.shtml), [22](https://www.serebii.net/swordshield/maxraidbattles/den22.shtml)","[17](https://www.serebii.net/swordshield/maxraidbattles/den17.shtml), [21](https://www.serebii.net/swordshield/maxraidbattles/den21.shtml), [22](https://www.serebii.net/swordshield/maxraidbattles/den22.shtml)",None,None,-
Corsola,Unknown,"[43](https://www.serebii.net/swordshield/maxraidbattles/den43.shtml), [47](https://www.serebii.net/swordshield/maxraidbattles/den47.shtml), [81](https://www.serebii.net/swordshield/maxraidbattles/den81.shtml)",Unknown,None,-
Remoraid,"[7](https://www.serebii.net/swordshield/maxraidbattles/den7.shtml), [76](https://www.serebii.net/swordshield/maxraidbattles/den76.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml)","[7](https://www.serebii.net/swordshield/maxraidbattles/den7.shtml), [76](https://www.serebii.net/swordshield/maxraidbattles/den76.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml)","[138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml)","[138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml)",-
Octillery,"[7](https://www.serebii.net/swordshield/maxraidbattles/den7.shtml), [76](https://www.serebii.net/swordshield/maxraidbattles/den76.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml)","[7](https://www.serebii.net/swordshield/maxraidbattles/den7.shtml), [76](https://www.serebii.net/swordshield/maxraidbattles/den76.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml)","[76](https://www.serebii.net/swordshield/maxraidbattles/den76.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml)","[76](https://www.serebii.net/swordshield/maxraidbattles/den76.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml), [147](https://www.serebii.net/swordshield/maxraidbattles/den147.shtml)",-
Delibird,"[21](https://www.serebii.net/swordshield/maxraidbattles/den21.shtml), [55](https://www.serebii.net/swordshield/maxraidbattles/den55.shtml), [61](https://www.serebii.net/swordshield/maxraidbattles/den61.shtml)","[21](https://www.serebii.net/swordshield/maxraidbattles/den21.shtml), [23](https://www.serebii.net/swordshield/maxraidbattles/den23.shtml), [55](https://www.serebii.net/swordshield/maxraidbattles/den55.shtml), [61](https://www.serebii.net/swordshield/maxraidbattles/den61.shtml), [83](https://www.serebii.net/swordshield/maxraidbattles/den83.shtml)",[61](https://www.serebii.net/swordshield/maxraidbattles/den61.shtml),[61](https://www.serebii.net/swordshield/maxraidbattles/den61.shtml),-
Mantine,"[7](https://www.serebii.net/swordshield/maxraidbattles/den7.shtml), [67](https://www.serebii.net/swordshield/maxraidbattles/den67.shtml), [76](https://www.serebii.net/swordshield/maxraidbattles/den76.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml)","[7](https://www.serebii.net/swordshield/maxraidbattles/den7.shtml), [67](https://www.serebii.net/swordshield/maxraidbattles/den67.shtml), [76](https://www.serebii.net/swordshield/maxraidbattles/den76.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml)","[67](https://www.serebii.net/swordshield/maxraidbattles/den67.shtml), [76](https://www.serebii.net/swordshield/maxraidbattles/den76.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml)","[67](https://www.serebii.net/swordshield/maxraidbattles/den67.shtml), [76](https://www.serebii.net/swordshield/maxraidbattles/den76.shtml), [137](https://www.serebii.net/swordshield/maxraidbattles/den137.shtml), [138](https://www.serebii.net/swordshield/maxraidbattles/den138.shtml)",-
Skarmory,"[129](https://www.serebii.net/swordshield/maxraidbattles/den129.shtml), [130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml)","[129](https://www.serebii.net/swordshield/maxraidbattles/den129.shtml), [130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml)","[129](https://www.serebii.net/swordshield/maxraidbattles/den129.shtml), [130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml)","[129](https://www.serebii.net/swordshield/maxraidbattles/den129.shtml), [130](https://www.serebii.net/swordshield/maxraidbattles/den130.shtml)",-
Kingdra,"[131](https://www.serebii.net/swordshield/maxraidbattles/den131.shtml), [132](https://www.serebii.net/swordshield/maxraidbattles/den132.shtml)","[131](https://www.serebii.net/swordshield/maxraidbattles/den131.shtml), [132](https://www.serebii.net/swordshield/maxraidbattles/den132.shtml)","[131](https://www.serebii.net/swordshield/maxraidbattles/den131.shtml), [132](https://www.serebii.net/swordshield/maxraidbattles/den132.shtml)","[131](https://www.serebii.net/swordshield/maxraidbattles/den131.shtml), [132](https://www.serebii.net/swordshield/maxraidbattles/den132.shtml)",-
Tyrogue,"[1](https://www.serebii.net/swordshield/maxraidbattles/den1.shtml), [10](https://www.serebii.net/swordshield/maxraidbattles/den10.shtml)","[1](https://www.serebii.net/swordshield/maxraidbattles/den1.shtml), [10](https://www.serebii.net/swordshield/maxraidbattles/den10.shtml)",None,None,-
Hitmontop,[1](https://www.serebii.net/swordshield/maxraidbattles/den1.shtml),[1](https://www.serebii.net/swordshield/maxraidbattles/den1.shtml),[1](https://www.serebii.net/swordshield/maxraidbattles/den1.shtml),[1](https://www.serebii.net/swordshield/maxraidbattles/den1.shtml),-
Milktank,"[101](https://www.serebii.net/swordshield/maxraidbattles/den101.shtml), [102](https://www.serebii.net/swordshield/maxraidbattles/den102.shtml)","[101](https://www.serebii.net/swordshield/maxraidbattles/den101.shtml), [102](https://www.serebii.net/swordshield/maxraidbattles/den102.shtml)","[101](https://www.serebii.net/swordshield/maxraidbattles/den101.shtml), [102](https://www.serebii.net/swordshield/maxraidbattles/den102.shtml)","[101](https://www.serebii.net/swordshield/maxraidbattles/den101.shtml), [102](https://www.serebii.net/swordshield/maxraidbattles/den102.shtml)",-
